year,title,author,url,title_describe
2020,Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,https://t.me/+3U_oBsJ32dZjMTYy,"распределенные системы реального времени. теория и практика данная книга описывает разработку и реализацию программного обеспечения распределенных систем реального времени с использованием подхода снизу вверх . освещаются проблемы, встречающиеся в программных проектах систем реального времени представлен новый метод простого и эффективного выполнения всех этапов разработки программного обеспечения. рассматриваемые темы: основы систем реального времени, включая архитектуру реального времени и распределенные системы реального времени операционная система реального времени, охватывающая концепции задач, памяти и управления вводом/выводом подробное пошаговое построение ядра операционной системы реального времени, которое затем используется для тестирования различных реализаций более высокого уровня периодическое и апериодическое планирование, управление ресурсами и распределенное планирование процесс разработки приложений от методов проектирования высокого уровня до деталей проектирования и реализации низкого уровня языки программирования в реальном времени и методы отказоустойчивости. "
2024,FastAPI: веб-разработка на Python,Билл Любанович,https://t.me/+3U_oBsJ32dZjMTYy,"fastapi: веб-разработка на python fastapi относительно новый, но надежный фреймворк с чистым дизайном, использующий преимущества актуальных возможностей python. как следует из названия, fastapi отличается высоким быстродействием и способен конкурировать в этом с аналогичными фреймворками на таких языках, как golang. эта практическая книга расскажет разработчикам, знакомым с python, как fastapi позволяет достичь большего за меньшее время и с меньшим количеством кода. билл любанович рассказывает о тонкостях разработки с применением fastapi и предлагает множество рекомендаций по таким темам, как формы, доступ к базам данных, графика, карты и многое другое, что поможет освоить основы и даже пойти дальше. кроме того, вы познакомитесь с restful api, приемами валидации данных, авторизации и повышения производительности. благодаря сходству с такими фреймворками, как flask и django, вы легко начнете работу с fastapi. "
2023,Расширения ядра Linux: драйверы и модули,Цилюрик О.И.,https://t.me/+3U_oBsJ32dZjMTYy,"расширения ядра linux: драйверы и модули в книге подробно рассмотрено программирование драйверов ядра linux, исследованы возможности расширяемости ядра при помощи модулей. основная версия ядра 5.15. код примеров отработан и проверен на десятках различных инсталляций linux, установленных из различных дистрибутивов и разных семейств дистрибутивов: fedora, centos, debian, ubuntu, mint. уделено внимание архитектурам x 64, x 86, arm, а также одноплатному компьютеру raspberry pi и драйверам устройств, подключаемых по usb. затронут стандарт posix, разобраны api ядра, работа с raspberry pi, системные вызовы и подключение разнообразных периферийных устройств. эта книга рассчитана на достаточно опытных разработчиков системного программного обеспечения. предполагается, что, возможно, у читателя и отсутствует какой-либо опыт в программировании именно для ядра linux или даже вообще в программировании для этой системы но предполагаются знания и какой бы то ни было опыт в системном программировании для других операционных систем, которые станут хорошей базой для построения аналогий. в высшей степени плодотворно любое знакомство с одной или несколькими posix-системами: open solaris, qnx, freebsd, netbsd, minix3, ... с любой из них в равной степени. совершенно естественно, что от читателя требуется квалифицированное знание языка c единственного необходимого и достаточного языка системного программирования в linux из числа компилирующих . это необходимо для самостоятельного анализа и понимания приводимых примеров примеры приводятся, но код детально не обсуждается. очень продуктивно в дополнение к этому для работы с многочисленными приводимыми примерами, а еще больше с их последующей модификацией и сравнениями иметь хотя бы минимальные познания в языках скриптового программирования unix и лучше в нескольких что-то из числа: bash, perl, awk, python... в высшей степени безусловным подспорьем будут знание и опыт прикладного программирования в стандартах posix обладающий таким опытом найдет в нем прямые аналогии api с механизмами в ядре linux. "
2024,Антипаттерны SQL. Как избежать ловушек при работе с базами данных,Билл Карвин,https://t.me/+3U_oBsJ32dZjMTYy,"антипаттерны sql. как избежать ловушек при работе с базами данных язык sql необходим для работы со структурированными данными. программисты, прекрасно знающие свой любимый язык java, python или go , не могут разбираться во всем, и часто не являются экспертами в sql. это приводит к появлению антипаттернов, решений, которые на первый взгляд кажутся правильными, но со временем создают вс больше проблем. научитесь выявлять и обходить многие из этих распространенных ловушек проведите рефакторинг унаследованного кошмара и превратите его в жизнеспособную модель данных примеры sql-кода основаны на версии mysql 8.0, но в тексте также упоминаются другие популярные рсубд. в примерах кода используется python 3.9 или ruby 2.7 . "
2024,DevOps: интеграция и автоматизация: Учебное пособие для вузов,Баланов А.Н.,https://t.me/+3U_oBsJ32dZjMTYy,"devops: интеграция и автоматизация: учебное пособие для вузов учебное пособие представляет собой всеобъемлющее руководство по devops подходу, который стал революционным в мире it. devops интегрирует процессы разработки и эксплуатации, делая их более гибкими, быстрыми и эффективными. данная книга идеальный старт для тех, кто хочет понять devops и его принципы и применить их на практике. в мире информационных технологий devops представляет собой не просто технический подход, но настоящую революцию в способе создания, развертывания и обслуживания программных продуктов. этот термин, образованный от слов development разработка и operations эксплуатация , олицетворяет собой гармоничное слияние двух важнейших аспектов 1т-процессов. в первой главе студенты познакомятся с основами devops, его историей и значимостью в современном мире. этот раздел создает основу для понимания всего курса, предоставляя читателям необхо димый контекст. далее пособие погружает студентов в ключевые принципы devops, начиная с культуры и автоматизации и заканчивая мониторингом и разделением знаний. эти принципы являются основой для успешного внедрения devops в любой организации. особое внимание уделяется инструментарию devops. читатели узнают о таких ключевых инструментах, как git, ci/cd, docker и kubernetes. эти инструменты стали стандартами в индустрии и необходимы для любого devops-инженера. после того как основы будут освоены, студенты углубятся в более продвинутые темы, такие как инфраструктура, мониторинг и логирование, а также безопасность в devops. один из ключевых разделов пособия посвящен реальным кейсам внедрения devops. анализ успешных и неудачных историй позволит студентам избегать распространенных ошибок и применять лучшие навыки на практике. в заключительных главах книги рассматриваются будущие тренды в devops и рекомендации для дальнейшего профессионального развития. эти разделы помогут студентам быть в курсе последних новинок и готовиться к будущим вызовам. дополнительные материалы, такие как рекомендации по чтению, расширяют учебное пособие, делая его еще более ценным ресурсом для будущих devops-инженеров. "
2024,"Python на примерах. Практика, практика и только практика",Кольцов Д.М.,https://t.me/+3U_oBsJ32dZjMTYy,"python на примерах. практика, практика и только практика данная книга является сборником различных задач и примеров, решенных с помощью языка программирования python. также в книге рассмотрена базовая теоретическая часть python, позволяющая ориентироваться в языке и создавать свои программы. теория сопровождается большим количеством разнообразных примеров - от самых основ переменные и типы данных операторы и циклы математические функции и регулярные выражения строки, списки, кортежи и т.д. - до более продвинутых тем объектно-ориентированное программирование модули и пакеты в python, генераторы и итераторы метапрограммирование и т.д. . книга будет полезна как для тех, кто только заинтересовался python, так и для тех, кто хочет улучшить свои навыки в программировании на python. "
2023,Микросервисы. Паттерны разработки и рефакторинга,Ричардсон К,https://t.me/+3U_oBsJ32dZjMTYy,"микросервисы. паттерны разработки и рефакторинга если вам давно кажется, что вся разработка и развертывание в вашей компании донельзя замедлились - переходите на микросервисную архитектуру. она обеспечивает непрерывную разработку, доставку и развертывание приложений любой сложности. книга, предназначенная для разработчиков и архитекторов из больших корпораций, рассказывает, как проектировать и писать приложения в духе микросервисной архитектуры. также в ней описано, как делается рефакторинг крупного приложения - и монолит превращается в набор микросервисов. "
2023,Осваиваем биткойн. Третье изд,"Антонопулос А., Хардинг Д.",https://t.me/+3U_oBsJ32dZjMTYy,"осваиваем биткойн. третье изд станьте участником технологической революции, которая захватывает финансовый мир. данная книга это ваш проводник по кажущемуся сложным миру биткойна. создаете ли вы будущее приложение-убийцу, инвестируете в стартап или просто интересуетесь технологией, это переработанное и дополненное издание предоставит вам подробную информацию для начала работы. биткойн, первая успешная децентрализованная цифровая валюта, уже успел породить многомиллиардную глобальную экономику, которая открыта для всех желающих с достаточными навыками и желанием принять в ней участие. от вас требуется лишь увлеченность. "
2024,Практический хакинг интернета вещей,"Чанцис Ф., Стаис И., Кальдерон П., Деирменцоглу Е., Вудс Б.",https://t.me/+3U_oBsJ32dZjMTYy,"практический хакинг интернета вещей из этой книги вы узнаете, как тестировать системы, устройства и протоколы интернета вещей iot на безопасность и предотвращать атаки злоумышленников. вы научитесь моделировать угрозы, испытаете на практике различные методы проверки безопасности, откроете для себя искусство пассив-ной разведки и оцените уровень защиты своей iot-системы. затем выполните переключение vlan, взломаете аутентификацию mott, злоупотребите upnp, разработаете отравитель mdns и создадите атаки ws-discovery. инструменты и устройства, описываемые в книге, недороги и легкодоступны потренируйтесь в их тестировании, выполняя описанные в книге упражнения. "
2022,Потоковая обработка данных с Apache Flink,"Фабиан Уэске, Василики Калаври",https://t.me/+3U_oBsJ32dZjMTYy,"потоковая обработка данных с apache flink начните работу с apache flink, фреймворком с открытым исходным кодом, на котором основаны многие крупнейшие в мире системы для обработки потоковых данных. в данной книге вы изучите фундаментальные понятия параллельной потоковой обработки и узнаете, чем эта технология отличается от традиционной пакетной обработки данных. ф. уэске и в.калаври, занятые в проекте apache flink с первых дней, покажут вам, как создавать масштабируемые потоковые приложения с помощью api flink datastream, а также непрерывно выполнять и поддерживать эти приложения в операционных средах. "
